i,j,w
21990628,21990632,44.763999999999996
21990628,213670986,75.42999999999999
21990628,21990629,39.324
21990628,1721713699,52.449000000000005
21990629,5565443389,6.547
21990629,250327547,68.537
21990629,21990628,39.324
21990630,5565443390,3.145
21990630,250327618,23.163
21990631,8869464378,3.427
21990631,5565443389,48.342
21990631,5042033643,13.129
21990632,1718566880,9.127
21990632,21990628,44.763999999999996
21990638,1938953431,32.971999999999994
21990638,1938953413,8.856
24658003,25066333,18.724
24658003,24950117,50.718
24658007,25161367,5.675
24658007,2334502396,37.696999999999996
24658010,24658007,28.467
24658010,18468953,57.327
24659709,24949783,57.781
24659709,7906964248,142.89600000000002
24659947,24949780,7.596
24659947,5473274866,52.785000000000004
24660697,5473273425,23.316
24660697,3061197976,35.532000000000004
24660863,9693920797,1.121
24660863,9693920796,3.94
24660863,24661273,49.717
24661273,2961540,9.918
24661273,24660863,49.717
24661419,24950111,50.753
24661419,25070019,40.954
24661966,24662037,44.04
24661966,8807410158,39.192
24661966,25544108,50.022000000000006
24662037,1418752689,5.74
24662037,109788,47.805
24662037,6446292562,40.898
24662037,24661966,44.040000000000006
24949776,8869435266,51.317
24949780,6948380395,23.895
24949780,24659947,7.596
24949780,5094718798,48.857
24949783,5473274969,35.54900000000001
24949783,24659709,57.781000000000006
24949783,5094718798,23.089
24950001,6948380401,84.834
24950050,5095547184,68.369
24950050,8807431546,56.832
24950061,25248129,1.029
24950061,25248115,50.13699999999999
24950064,24660697,19.896
24950064,24950065,33.356
24950065,5227220846,63.69199999999999
24950065,24950064,33.356
24950065,24951721,67.895
24950101,2961557,12.544
24950101,8807431560,7.322
24950101,24950102,24.901
24950102,24950105,12.561
24950102,5473274724,6.857
24950102,24950101,24.901
24950104,25248113,24.135
24950104,5473274724,36.036
24950105,24950102,12.561
24950105,2961540,42.587999999999994
24950105,8807431559,5.622999999999999
24950107,25248114,9.64
24950107,24661273,64.385
24950109,2961549,43.316
24950109,2961540,12.732
24950110,24950111,5.294
24950110,25248114,29.265
24950110,9693920797,54.806999999999995
24950111,24950110,5.294
24950111,24950112,30.951
24950112,24950064,74.451
24950112,25248126,6.22
24950112,24950111,30.951
24950113,8807431541,4.227
24950113,2961549,15.471
24950113,24950114,32.957
24950114,4867087535,24.128999999999998
24950114,24950113,32.957
24950115,25161362,18.846
24950115,25161363,14.587
24950115,8807431541,52.175
24950117,316763501,6.54
24950117,25161346,35.424
24951721,24950065,67.895
24951721,9030029183,62.407999999999994
24951853,4922952373,5.419
24951853,104321,19.82
24951853,7553887464,24.277
24951854,104321,54.048
24951854,28800671,49.068
24951854,5046314043,15.039
24952195,6985465124,4.309
24952195,3385356250,11.129999999999999
24952268,1493613087,75.433
24952268,6446269173,4.417
24952268,6166157035,26.42
25066333,24658003,18.724
25066333,1046334318,31.214
25066333,25161367,44.150999999999996
25066337,25161345,33.229
25066338,5087519104,20.696
25066338,25066412,9.87
25066338,25161349,59.161
25066412,25066338,9.87
25066419,5090420614,9.157
25066419,5090420611,18.546
25066419,8807429660,19.168
25066451,25066453,4.959
25066451,25161370,65.717
25066453,8438226815,57.004
25066453,25161369,26.26
25066457,2218340965,23.677
25066666,4866623230,43.746
25066666,25066687,32.467
25066666,4866552625,44.442
25066684,6967585842,158.994
25066687,25066666,32.467
25066687,25066694,42.435
25066694,25161353,27.601000000000003
25066784,25161352,27.277
25066784,25066694,18.716
25067068,25067264,64.417
25067068,25066784,40.926
25067264,25067265,14.872
25067264,25067298,18.575
25067265,25067266,46.565
25067266,6509584414,3.974
25067266,4866552622,5.798
25067298,25067264,18.575
25067305,2566132610,22.741
25067324,25161357,48.879000000000005
25067324,25067400,92.756
25067324,5141876996,32.22
25067397,25067398,43.939
25067397,6446304190,34.271
25067398,5141625621,48.718
25067398,6446301329,23.729999999999997
25067400,107637,25.539
25067461,5104314275,4.114
25067461,5104314270,9.281
25067461,5104314269,6.002
25067463,5104314275,11.809
25067463,25067727,29.523000000000003
25067463,25067473,73.229
25067473,25067479,34.698
25067473,5141625621,96.42200000000001
25067473,1951616322,31.424999999999997
25067473,25067463,73.229
25067479,25067473,34.698
25067479,25067727,6.185
25067479,25067636,47.236000000000004
25067636,25067479,47.236
25067636,25067670,41.089
25067636,25161361,36.05200000000001
25067670,25067728,12.337
25067670,5104314096,3.859
25067670,25067636,41.089
25067727,25067479,6.185
25067727,5104314096,25.336
25067727,25067463,29.523000000000003
25067727,1719529597,9.496
25067728,25067670,12.337
25067728,1569312412,25.6
25067728,5104314358,25.304
25067871,1569312412,3.953
25067871,6032044874,55.804
25067871,25067929,34.644999999999996
25067883,5141216790,3.239
25067883,5141216745,2.062
25067883,5141216787,26.989
25067914,6446292570,27.141999999999996
25067914,25067920,63.388999999999996
25067914,6032044857,10.21
25067920,25067914,63.389
25067929,6032044857,17.495
25067929,25067871,34.645
25067929,5141216746,29.174
25067936,5141216782,1.701
25067936,5141216746,7.768
25067936,5141216787,12.821
25068755,25248117,16.366
25068755,2642857199,23.903
25068755,25068862,53.123000000000005
25068862,25068755,53.123000000000005
25068862,25248118,53.838
25069071,25248119,28.064
25069197,4688513226,35.226
25069265,4688513227,9.978
25069911,2538458899,28.208
25069911,25070019,26.848
25069911,2538458887,28.331999999999997
25070019,107588,45.402
25070019,2538458889,32.661
25070019,25069911,26.848
25070019,24661419,40.954
25070924,1497452184,21.123
25070924,25248127,48.247
25070924,25071133,16.051
25070924,25071136,26.137999999999998
25071133,25070924,16.051
25071133,25248130,40.978
25071133,25248126,73.039
25071133,25071137,30.371000000000002
25071136,25071145,13.13
25071136,25070924,26.137999999999998
25071136,25071137,11.764999999999999
25071137,25071133,30.371000000000002
25071137,1211381855,63.34700000000001
25071137,25071136,11.765
25071139,25071142,21.417
25071139,25248124,34.821000000000005
25071139,25071145,30.208000000000002
25071142,25071139,21.417
25071142,25248123,40.389
25071142,4688513221,30.273
25071145,25071136,13.13
25071145,25071139,30.208
25071145,2793874587,12.548000000000002
25151180,1832129958,8.34
25151180,529722111,27.514000000000003
25151180,8975700260,76.91199999999999
25161345,316763501,25.241
25161345,104322,30.528
25161345,25066337,33.229
25161346,4922952372,5.371
25161346,7553887464,30.742
25161346,24950117,35.424
25161347,5087519104,8.303
25161347,5090420940,42.56
25161347,104322,69.606
25161347,2387194127,44.71900000000001
25161348,8807429660,9.088000000000001
25161348,1401926435,60.433
25161348,2387226309,61.053000000000004
25161349,24658003,14.563
25161349,25066338,59.161
25161350,24658010,39.037
25161350,8807429662,38.504
25161351,18468958,6.222
25161351,18468953,73.269
25161351,7926506525,37.635999999999996
25161352,25066784,27.277
25161352,25161353,33.214
25161352,1938819320,5.428999999999999
25161353,25161365,25.564
25161353,25161352,33.214
25161356,25161357,74.763
25161356,2566132611,25.786
25161356,950703626,50.364
25161356,4085778919,27.43
25161357,25161356,74.763
25161357,6369361794,39.248
25161357,25067068,74.59799999999998
25161360,1951616322,27.536
25161360,7906964248,5.858
25161360,25161361,46.965
25161361,25067636,36.05200000000001
25161361,107634,17.715
25161361,25161360,46.965
25161362,24950115,18.846
25161362,5141216790,43.08
25161362,107634,30.164
25161363,5141354331,18.056
25161363,24950115,14.587
25161363,5141216782,39.783
25161365,4866623230,10.393
25161365,4866623226,10.065
25161365,25161353,25.564
25161367,25161349,10.501
25161367,25066333,44.150999999999996
25161368,7553887392,54.965
25161368,104322,17.057000000000002
25161369,25066453,26.26
25161369,8869435281,63.071
25161369,8869435286,58.035
25161370,1717643537,27.7
25161370,18395288,19.701
25161370,25066451,65.717
25161371,28800667,19.01
25161371,1717650794,59.245000000000005
25161371,1684511955,42.978
25161373,6967585840,21.066
25161373,4085778919,8.268
25161373,6967585841,17.219
25161373,7824747295,20.024
25161375,7911231384,11.362
25161375,4085783105,9.124
25161375,5141228834,21.625
25161375,10543014386,36.685
25248112,2538458887,7.643
25248112,3715515059,9.23
25248112,2218344503,34.331
25248113,2538458899,3.062
25248113,24950107,17.814
25248114,2538458889,5.427
25248114,24950110,29.265
25248114,24950107,9.64
25248115,2218344510,6.296
25248115,107588,28.898
25248115,24950061,50.137
25248117,25068755,16.366
25248117,10677376,41.379999999999995
25248117,10677377,36.33500000000001
25248118,10677377,31.837
25248119,25069071,28.064
25248119,25248127,18.127
25248119,4688513218,22.597
25248120,4688513227,6.094
25248120,4688513221,5.45
25248120,25248122,17.605
25248120,4688513218,15.626000000000001
25248122,4688513226,6.457
25248122,25248120,17.605
25248122,3381130090,21.239
25248123,25071142,40.389
25248123,30056277,14.476
25248123,4688513237,35.112
25248124,25248125,26.485
25248124,30056277,14.829
25248124,25071139,34.821
25248125,1211381855,9.195
25248125,25248124,26.485
25248125,1566269741,49.242000000000004
25248126,24951721,25.692
25248126,24950112,6.22
25248126,25071133,73.03900000000002
25248127,25070924,48.247
25248127,1497452171,16.802
25248127,25248119,18.127
25248128,109416,6.685
25248128,1497452171,12.643
25248128,25068862,37.543
25248129,25248130,13.842
25248129,1497452184,20.209
25248130,24661419,11.34
25248130,25071133,40.978
25265077,2059790748,7.971
25265077,4166634955,14.465
25265080,10306429312,6.087
25265080,4166634962,31.13
25378129,4017328647,18.78
25378129,270112540,72.009
25438595,25438638,25.859
25438595,25438732,19.286
25438638,25438595,25.859
25438732,25438595,19.286
25438732,282719,21.044999999999998
25438732,3578315455,110.558
25470782,25503869,13.0
25470782,10572178,46.978
25470782,25504129,16.292
25470928,1678452789,21.547
25470928,1678452790,81.372
25470928,25504144,62.399
25471090,2036181339,7.808
25471090,3586606039,46.479
25471135,7792756414,9.937
25471135,25471263,74.449
25471263,1309180608,34.178
25471263,25471135,74.449
25471263,25471090,38.943
25471274,7447637305,20.02
25471274,25632854,9.367
25471274,7447565849,15.266
25471289,10607132,93.599
25471289,3691462888,6.819
25471289,7447637305,34.574
25471681,10572179,37.765
25471681,25503856,39.001
25471732,25471740,34.628
25471732,25503862,37.885999999999996
25471732,10572180,17.578
25471740,25503863,48.214
25471740,25471732,34.628
25471740,748885408,26.565
25472215,2036185421,3.849
25472324,1617647944,37.185
25472324,321255907,12.133
25472324,2294047355,12.471
25472379,4675821921,5.003
25472379,762080111,2.079
25472428,4675821944,51.937
25472428,6483733493,2.326
25472428,25472890,32.879
25472545,1617596606,52.551
25472545,1617596626,81.027
25472545,25473048,28.733
25472767,25472771,51.229
25472767,6374802571,50.601
25472767,110143,65.105
25472771,25472767,51.229
25472771,25472789,77.72099999999999
25472771,2940401398,64.20700000000001
25472789,110141,39.052
25472789,25472771,77.72099999999999
25472800,2940401398,5.444
25472800,1954751920,27.586000000000002
25472800,110143,48.21
25472885,4948630427,30.037999999999997
25472885,5733997919,158.14599999999996
25472885,1684781470,40.377
25472890,4675822095,16.098
25472890,25472428,32.879
25473004,1617532091,43.48
25473004,4665353662,25.391
25473004,1617647896,77.506
25473004,4665353644,50.15
25473048,25472545,28.733
25473048,25472379,37.858000000000004
25473199,1311962080,14.233
25473199,109780,42.537
25473199,25632865,55.976
25473200,1311962080,10.154
25473200,25632864,56.533
25473200,25473205,38.746
25473202,875789647,23.92
25473202,5067002855,57.562
25473204,1759454104,32.745
25473204,25473205,1.57
25473204,1401893666,27.55
25473205,25473204,1.57
25473205,25473200,38.745999999999995
25473205,25632855,61.81
25473207,1759454104,37.423
25473207,1366095187,23.724
25473207,6871422361,11.489
25473279,4136124526,7.709
25473279,25473281,39.251000000000005
25473281,8497605091,22.813
25473281,25473279,39.251000000000005
25473281,796809545,48.524
25474005,585201189,81.538
25474005,25474015,20.368000000000002
25474015,25474005,20.368000000000002
25474015,1547657140,38.787000000000006
25474019,5976760444,7.568
25474019,5976760446,4.459
25474019,2528484782,25.912
25475053,25497603,45.292
25475053,9694091983,20.633
25475072,25496910,23.319000000000003
25475072,585180151,12.85
25475182,762080190,16.277
25475182,1617596693,30.322000000000003
25475182,1617596714,38.398
25475328,25475417,37.194
25475328,283062189,39.51
25475328,9683686963,14.294
25475330,25475331,41.529
25475330,762080190,3.784
25475330,762080145,3.637
25475331,8785484306,7.4750000000000005
25475331,25475330,41.529
25475331,1617647945,15.125
25475331,1617596714,19.811
25475332,762080145,16.659
25475332,1617647934,55.953
25475417,9135845216,2.384
25475417,690295042,45.875
25475417,25475328,37.194
25475419,283061836,11.639
25475419,675734613,20.502
25475419,9690878337,35.365
25475550,25475561,3.9610000000000003
25475550,690295042,68.569
25475550,9699961628,54.032
25475561,9690878337,4.809
25475561,6266867114,30.052
25475561,25475550,3.9610000000000003
25475597,9690878337,69.298
25475661,9699961628,5.84
25475661,6266867114,29.871
25475663,9690915267,2.014
25475663,4715263998,35.574999999999996
25475664,5816744255,49.197
25475674,9576827482,0.966
25475674,1736685635,29.164
25475678,6696695781,18.506
25475678,10579930792,29.744999999999997
25475688,25499095,12.434
25475688,2135411297,45.145
25475688,1736685635,51.542
25475690,25475691,21.88
25475690,25499095,9.338
25475690,25475693,77.229
25475691,25475690,21.88
25475691,25632680,46.358
25475691,25475692,72.177
25475692,25475691,72.177
25475692,25475693,24.962
25475692,25475694,21.726000000000003
25475693,4298970384,8.508
25475693,25475690,77.22900000000001
25475693,25475692,24.962
25475693,25499093,13.636
25475694,435104728,5.255
25475694,355416921,26.240999999999996
25475694,25475692,21.726
25475712,8064065315,19.14
25475752,25475754,31.242
25475752,6272993491,46.983000000000004
25475752,6239229423,34.344
25475754,1493229962,14.341
25475754,25497872,47.53
25475754,25475752,31.242
25475770,1689605567,10.173
25475770,107606,11.540000000000001
25475770,28418921,22.939999999999998
25476134,5931509715,18.79
25476134,5580861156,40.815
25476134,4920098349,58.462999999999994
25477106,28728208,16.206
25477106,5565466183,38.135000000000005
25477149,306439304,16.547
25477149,25477150,48.824000000000005
25477149,3870640530,154.83499999999995
25477150,306439310,11.671
25477150,1312188614,38.82
25477154,306439338,16.574
25477154,25477149,95.45799999999998
25477154,3741078112,32.68
25477156,2402557839,54.765
25477156,306439329,8.834
25477156,25477154,95.99
25477197,2402557839,6.66
25477197,4749090120,56.989999999999995
25477224,3809870288,23.076
25477228,3735886877,8.223
25477228,109766,68.677
25477228,25477301,20.478
25477301,2935373159,14.326
25477301,25477228,20.478
25477301,347541973,103.95700000000001
25477333,25477335,62.239999999999995
25477335,25477333,62.239999999999995
25477335,249558409,19.744999999999997
25477335,25477339,23.137
25477339,302013666,48.483999999999995
25477339,25477335,23.137
25477339,57786953,8.217
25477371,5257738387,3.464
25477371,9080098299,36.499
25477371,3673602988,64.598
25477858,3661703766,2.753
25477858,819157946,7.527
25495542,1832129783,6.641
25495542,1832052008,2.984
25495542,1832227968,56.625
25495589,21578456,40.405
25495589,5006063174,48.14
25495589,8785567909,45.891
25495617,350437608,18.056
25495617,8645592521,77.894
25495617,25495618,14.939
25495618,25495617,14.939
25495618,25495769,7.574
25495618,10543800252,4.953
25495618,8645592520,83.409
25495639,8645592520,15.87
25495639,1816038214,43.846000000000004
25495639,5014591895,44.729
25495640,25495858,4.569
25495640,8645592521,8.611
25495640,1953202903,42.065
25495646,25495648,18.339
25495646,6279388821,40.352
25495648,25495646,18.339
25495648,1816038199,51.633
25495648,5014591895,20.801000000000002
25495697,1816038230,38.173
25495697,108391,37.04
25495697,25495854,65.73400000000001
25495698,108391,9.444
25495698,25496624,30.726
25495698,5736692334,61.969
25495769,25495618,7.574
25495769,323260106,45.345
25495769,321255925,50.7
25495807,343669798,12.674
25495807,6279388824,44.343
25495807,350628804,41.508
25495819,25495858,38.054
25495819,1834657469,29.343
25495819,350628799,23.229
25495820,6354294763,4.704000000000001
25495820,350437528,50.586
25495820,6354294779,10.952
25495822,4275394254,2.468
25495822,350437528,3.206
25495822,350377999,41.897
25495838,4275394254,31.543999999999997
25495838,25495852,38.721
25495838,25495857,31.581
25495852,25495838,38.721
25495852,25496100,35.058
25495852,4275398716,22.409
