"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"189","L4_341683","L5_286647",200,1400,64625,66604.3793103448,0.970281544084033,9
"190","L4_106229","L5_87496",200,1400,64616,66604.3793103448,0.97014641783418,9
"191","L4_93320","L5_56868",200,1400,63316,66604.3793103448,0.950628181744288,9
"192","L4_307783","L5_259900",200,1400,62275,66604.3793103448,0.934998578844614,9
"193","L4_288345","L5_243585",200,1400,62265,66604.3793103448,0.934848438566999,9
"194","L4_37474","L5_32752",200,1400,62073,66604.3793103448,0.9319657452368,9
"195","L4_286681","L5_242191",200,1400,55431,66604.3793103448,0.832242572845215,9
"196","L4_151904","L5_121125",200,1400,54216,66604.3793103448,0.814000529115047,9
"197","L4_329010","L5_277173",200,1400,50875,66604.3793103448,0.763838662364026,9
"198","L4_370720","L5_309118",200,1400,50108,66604.3793103448,0.75232290307099,9
"199","L4_88831","L5_27153",200,1400,46647,66604.3793103448,0.700359352988594,9
"200","L4_346606","L5_290492",200,1400,44369,66604.3793103448,0.666157397747999,9
"201","L4_84482","L5_27153",200,1400,43746,66604.3793103448,0.656803658452613,9
"202","L4_242135","L5_206310",200,1400,42701,66604.3793103448,0.641113999441892,9
"203","L4_334051","L5_281016",200,1400,41406,66604.3793103448,0.621670833490808,9
"204","L4_60379","L5_27153",200,1400,39000,66604.3793103448,0.585547082696747,9
"205","L4_52592","L5_32140",200,1400,38269,66604.3793103448,0.574571828403124,9
"206","L4_304742","L5_254508",200,1400,38186,66604.3793103448,0.573325664098923,9
"207","L4_359549","L5_283124",200,1400,36312,66604.3793103448,0.545189376073956,9
"208","L4_114755","L5_94827",200,1400,36023,66604.3793103448,0.540850322050895,9
"209","L4_261540","L5_208791",200,1400,34991,66604.3793103448,0.525355845401074,9
"210","L4_295991","L5_247213",200,1400,34986,66604.3793103448,0.525280775262267,9
"211","L4_332282","L5_279618",200,1400,34971,66604.3793103448,0.525055564845845,9
"212","L4_101314","L5_83651",200,1400,34180,66604.3793103448,0.513179468886534,9
